N	E[FS(u,v)]
20	34.190200
21	36.093320
22	38.044250
23	39.927410
24	41.821880
25	43.727410
26	45.718700
27	47.537520
28	49.573160
29	51.435320
30	53.410480
31	55.293750
32	57.201100
33	59.130690
34	61.237350
35	63.079340
36	65.039930
37	66.952560
38	68.902180
39	70.879790
40	72.831740
41	74.834490
42	76.704540
43	78.685110
44	80.674830
45	82.571010
46	84.509620
47	86.468740
48	88.415410
49	90.413630
50	92.388440
51	94.368730
52	96.311690
53	98.219720
54	100.250490
55	102.218910
56	104.151590
57	106.152950
58	108.032980
59	110.054950
60	112.099420
61	113.933220
62	115.908340
63	117.837360
64	119.962820
65	121.844270
66	123.793840
67	125.762860
68	127.742950
69	129.771130
70	131.664640
71	133.679980
72	135.628550
73	137.657150
74	139.661410
75	141.551840
76	143.601640
77	145.493660
78	147.448580
79	149.463200
80	151.452970
81	153.381050
82	155.394050
83	157.346220
84	159.387580
85	161.347560
86	163.265520
87	165.355250
88	167.284200
89	169.273190
90	171.214190
91	173.217500
92	175.147090
93	177.126470
94	179.140250
95	181.173510
96	183.055860
97	185.049700
98	187.085350
99	188.909690
100	191.045480
